"g","delta","phi","Tui","R","ID"
388.578486156972,0.0119985001874766,762,163738,-0.109375,1
760.677070854479,0.00692492480150338,1481,230374,-0.097505672,2
1709.68008700648,-0.00253350360640167,7860,403507,0.050217597,3
617.544319775596,0.00655298212735493,1150,164833,-0.132697633,4
1329.91881958321,0.0108622702423211,904,161535,-0.101838259,5
726.904933586338,-0.0302521133560676,510,212362,0.064814788,6
1553.35591397849,-0.036414586646906,840,132889,0.032692289,7
-67.1168657216206,0.00595663800938834,578,426500,-0.290449714,8
-451.708847926267,-0.123125138881309,350,413081,0.023205195,9
-131.16761543327,0.0162957078042582,204,210027,-0.300813002,10
212.885351207932,0.0102926450928864,462,446154,-0.210296007,11
17.1953079178884,0.0700304553556473,330,392904,-0.043271217,12
713.753740065451,0.0105201203572666,552,433896,-0.172202802,13
-159.005886508123,-0.206812732035717,137,175459,0.035294104,14
584.382488479263,0.0118264103573189,434,430660,-0.194830671,15
-292.697744558091,0.0111080568901451,246,429776,-0.365954252,16
-259.438782991202,0.018644258680449,176,430981,-0.304748946,17
1752.72839226841,0.00232784081957333,998,431873,-0.430443525,18
841.440227703985,0.0358888328163679,204,446708,-0.136587356,19
1509.60292746597,0.0138533215513571,346,374748,-0.208626747,20
948.406169617894,0.000939516986714708,6142,242605,-0.173294808,21
362.269443139665,0.00193144288460468,3142,229087,-0.164782827,22
421.805170150154,0.0137350739807606,2285,160559,-0.031862716,23
1112.2769168357,0.000530469841206503,7055,242683,-0.267203587,24
670.372492562953,0.00309498198300081,2469,137851,-0.130864179,25
-128.912536031987,0.0139076705508748,2095,231885,-0.03432113,26
758.67757884358,-0.0089899213441448,4531,245962,0.024549918,27
-95.5617302616629,-0.0117924313092796,1486,175046,0.057066053,28
-123.977463947096,0.00142986452720617,1793,246451,-0.390054074,29
810.499552627143,0.00200287909723467,4083,246867,-0.122282944,30
16.7787451678755,0.00412834467666964,1196,149904,-0.202531636,31
397.370816728398,-0.199413416422111,1939,185501,0.002586234,32
-303.06595852707,0.0016187327083737,2673,431641,-0.231113811,33
569.793994369074,0.0021619415684145,1882,166617,-0.245774278,34
-124.802258557382,0.0110722721607029,1054,170084,-0.085688519,35
1314.06800668513,-0.00144218199238184,18739,403092,0.037002709,36
-765.42671959425,0.00222067027201706,5101,163281,-0.088279649,37
439.717063488406,-0.004114446569211,13497,150388,0.018007413,38
-391.522067291623,0.00126745949544629,6606,163311,-0.119433825,39
50.7833827051809,0.000668230403742682,14185,247779,-0.105498049,40
-1268.53618231853,-0.0525327005601723,2813,111223,0.006767068,41
-1060.43794240245,0.00134321939137501,4480,162343,-0.166178576,42
-837.906917494067,0.0016232304499884,4756,162743,-0.129532269,43
-44.2272265773297,0.000849178604142085,11600,241794,-0.10151798,44
-1107.07888137731,0.0043841881446578,3148,111594,-0.07245629,45
-624.13491105941,-0.00288057117823636,5086,159380,0.06825666,46
-18.1596061051516,0.00130865547838372,13636,245765,-0.056038652,47
-64.6120958108199,0.00122801758369658,8969,186786,-0.090792796,48
-508.734936796141,0.00101255690490538,6622,162143,-0.149139054,49
-897.648372589655,0.00177706816709339,5338,163568,-0.105418624,50
-407.651476202306,0.00125067554771801,7103,163360,-0.112567631,51
-2247.06122721454,0.000910407753005975,4681,241241,-0.234652622,52
722.017446427971,0.000687315207196011,22619,152618,-0.064323645,53
-1508.78020911143,0.00201839011451962,3686,143041,-0.134412469,54
782.074703119204,0.00175674345045851,24961,150576,-0.022804979,55
-108.749346088664,-0.00353077506351924,6643,162353,0.042634944,56
-657.291696068775,0.00440263389338656,5796,205249,-0.039188537,57
-294.990739965767,0.109758997701554,8010,225426,-0.001137437,58
-282.701478765485,0.00128646523139016,7253,134165,-0.107172724,59
589.494617866533,0.00836921420508795,19770,132849,-0.00604378,60
-1005.63872138999,0.584665759705102,2436,177006,-0.000702126,61
-50.1504459218829,0.000668467246742045,6127,239366,-0.244158578,62
192.679647043241,-0.138363313919251,7450,233976,0.000970114,63
-250.909685653985,0.00120047322944163,3742,166541,-0.222609522,64
-261.356085682135,0.00140989201041297,5134,231022,-0.138152353,65
-102.759894824018,-0.00955192054897947,6219,248946,0.016834055,66
666.8467634317,0.00109230226740072,14274,248220,-0.064137418,67
-315.028499516398,0.00216505659838175,2040,109858,-0.226412593,68
-98.3448410361713,0.00670099724631554,3564,162955,-0.041871919,69
-52.0621028968782,-0.00670382597601819,5914,248780,0.025222954,70
-614.875680755306,0.00141109310523358,3668,246900,-0.193203506,71
-411.841449527685,-0.00808227239243577,2519,133819,0.049117737,72
99.5845245377062,0.00117028503215875,5755,195310,-0.148478312,73
41.7188503409757,-0.00531837689562893,4578,158929,0.041071929,74
-98.1806167697965,0.116649612837386,4433,186279,-0.001933833,75
-155.920362736071,-0.0419438093980899,4958,247580,0.004808677,76
-965.488861087983,0.00236775099202751,3183,240620,-0.132686682,77
-228.099633433614,0.00393144769901308,4594,235826,-0.055367703,78
-525.566364662457,0.00485657682097748,2940,188999,-0.070036173,79
455.504825217004,-0.00158408037551774,10602,248326,0.059543586,80
-383.224107329416,0.0523011140034406,1953,115627,-0.009790093,81
48.9171290514844,-0.0169621275234512,3792,162330,0.01554717,82
-166.317276771101,0.00611277641979006,7736,154133,-0.021146818,83
-15.9221584165958,0.00163570161043323,9171,151039,-0.066662136,84
-274.807800049932,0.00240185136434803,6303,151494,-0.066055132,85
-422.055302329128,0.00110534773073928,8739,248182,-0.103523593,86
-1939.21317748012,0.00296346089874828,1948,113430,-0.173225509,87
-441.209533798435,0.000847185124177874,8254,242331,-0.143006973,88
-987.920035859875,0.00935315474086335,5818,253806,-0.018376727,89
-615.062666291955,0.000632467981105991,8703,232617,-0.181673872,90
-176.208026879912,0.000319472213203163,13935,240962,-0.224625955,91
-1740.00519108669,0.00234262875105077,2235,112353,-0.190993683,92
-1006.80133229575,-0.00666778345367287,6379,232627,0.023510719,93
-718.747656118128,0.000661925223356431,8308,248319,-0.18184216,94
-1375.13768553426,0.00249026425493055,4830,224436,-0.083139505,95
-787.134501681906,0.000715721312060586,5238,164731,-0.26674148,96
-1064.92303756111,0.00134074290079543,6041,237281,-0.123465511,97
-1947.35457734684,0.00645999132934977,1658,109525,-0.093364879,98
867.720503498097,-0.00406721337703792,5215,184218,0.047146421,99
980.088672242104,0.0117386728122181,5215,182629,-0.016335284,100
-670.39066274883,0.000118278426936055,18128,226351,-0.466384993,101
-1265.06017829497,0.00147667463526629,9919,162986,-0.068272734,102
-1068.80675611892,-0.00272773128449273,16704,244859,0.02194714,103
-601.44555762898,0.00116963603130885,16698,162499,-0.05120175,104
-806.817260327287,0.000711263983383797,13699,148392,-0.102631415,105
-563.341310091086,0.000682243391426769,18375,162812,-0.079768847,106
-527.279059705849,0.000477060196114399,10317,145623,-0.203176459,107
-420.924083096445,0.000633105852135762,10331,136450,-0.152890785,108
79.5816500881078,0.000460428227451519,20664,177781,-0.10510507,109
-686.596908988436,0.000284127376360281,24083,224995,-0.146142433,110
-56.5429616391507,0.00441359602332646,11518,113490,-0.019671177,111
76.8906603503854,0.000279112833672696,41205,190479,-0.086950138,112
-657.514039280704,0.00193327080089226,9818,162078,-0.052684672,113
66.9076314789455,0.00147542005984665,46023,206773,-0.014726834,114
71.2712051258685,0.000656837489214383,31470,135529,-0.048377712,115
-533.437842459444,0.000320637113504593,14573,226934,-0.214011566,116
-399.113430985403,0.000247558600769578,19008,113023,-0.212513027,117
-1142.32158724503,0.000781766579464919,6003,138868,-0.213085823,118
-554.327587732186,0.00165630515774693,9606,162339,-0.062851705,119
-759.049501409718,0.000362717335126631,9690,188776,-0.284516797,120
415.764770172064,0.00114750840716721,25512,156969,-0.034158565,121
-5.69140551155954,0.000338463768193942,10444,112675,-0.282892186,122
-804.124201651099,0.000155455850172326,25488,164998,-0.252381299,123
